Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.955207377724,7.60622140853,0.0,7.15038230268,0.0,0.234413771787,0.234413771787,0.234413771787,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.427329616266
 01/01  02:00:00,0.832944785601,7.78951504235,0.0,7.4270609829,0.0,0.243726607826,0.243726607826,0.243726607826,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.33620432924
 01/01  03:00:00,0.787853156851,7.94371862165,0.0,7.60715872999,0.0,0.24971694058,0.24971694058,0.24971694058,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310614506156
 01/01  04:00:00,0.775276322711,7.98426652065,0.0,7.64128232792,0.0,0.250792517812,0.250792517812,0.250792517812,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.317404020863
 01/01  05:00:00,0.775416107631,8.12848807098,0.0,7.71235229612,0.0,0.253114999184,0.253114999184,0.253114999184,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391521897415
 01/01  06:00:00,0.830127077101,8.41912525617,0.0,7.68208433602,0.0,0.252146055261,0.252146055261,0.252146055261,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.709573811157
 01/01  07:00:00,1.06484969155,9.19862101311,0.0,7.86018839682,0.0,0.257979005601,0.257979005601,0.257979005601,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30669707291
 01/01  08:00:00,1.3908054019,9.28403684298,0.0,7.77090077206,0.0,0.255095341579,0.255095341579,0.255095341579,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47941467837
 01/01  09:00:00,1.31595220275,8.03446356703,0.0,6.55942956882,0.0,0.21475241441,0.21475241441,0.21475241441,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44652450863
 01/01  10:00:00,1.10553861957,6.61805998356,0.0,5.27395260366,0.0,0.172464134057,0.172464134057,0.172464134057,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31984349886
 01/01  11:00:00,1.08162447429,5.84466213095,0.0,4.65582768345,0.0,0.152340876945,0.152340876945,0.152340876945,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16399992014
 01/01  12:00:00,1.04274089185,3.98160333773,0.0,2.93528977122,0.0,0.0955311926999,0.0955311926999,0.0955311926999,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02147143053
 01/01  13:00:00,0.985205250285,2.72600612657,0.0,1.7880428935,0.0,0.058023164116,0.058023164116,0.058023164116,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.913539571052
 01/01  14:00:00,0.937255321605,1.98366374722,0.0,1.11183053572,0.0,0.0360322190827,0.0360322190827,0.0360322190827,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.846564992949
 01/01  15:00:00,0.919685449308,1.40565196889,0.0,0.596105788898,0.0,0.0192723023113,0.0192723023113,0.0192723023113,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.782855149974
 01/01  16:00:00,0.994210610694,1.52964497253,0.0,0.710727849213,0.0,0.0230967757633,0.0230967757633,0.0230967757633,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.790742412901
 01/01  17:00:00,1.26916743668,1.95002841196,0.0,1.04336936575,0.0,0.0341352673911,0.0341352673911,0.0341352673911,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.873333301777
 01/01  18:00:00,1.8093825569,3.6357929125,0.0,2.55913799418,0.0,0.0843828492405,0.0843828492405,0.0843828492405,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03616946486
 01/01  19:00:00,2.17109289943,4.33855545429,0.0,3.09941557845,0.0,0.101910517891,0.101910517891,0.101910517891,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19518489282
 01/01  20:00:00,2.15560874201,4.97342013111,0.0,3.70040539111,0.0,0.121476077242,0.121476077242,0.121476077242,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22764455415
 01/01  21:00:00,2.03092386572,5.82801279893,0.0,4.64094842852,0.0,0.152423179566,0.152423179566,0.152423179566,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.14013441798
 01/01  22:00:00,1.89057561277,6.67629605618,0.0,5.60786684107,0.0,0.184180267696,0.184180267696,0.184180267696,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02259490359
 01/01  23:00:00,1.59445514269,7.51344560404,0.0,6.63229605237,0.0,0.217844571737,0.217844571737,0.217844571737,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.841485828908
 01/01  24:00:00,1.29188079637,8.15492728506,0.0,7.4804721831,0.0,0.245657822979,0.245657822979,0.245657822979,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.639988064904
 01/02  01:00:00,0.990982811935,8.86493696254,0.0,8.42419115851,0.0,0.276762889076,0.276762889076,0.276762889076,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.412236314445
 01/02  02:00:00,0.881886766783,9.38509728333,0.0,9.03113034478,0.0,0.296615613083,0.296615613083,0.296615613083,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327717208347
 01/02  03:00:00,0.849517199697,9.88859314171,0.0,9.55883791317,0.0,0.313992221853,0.313992221853,0.313992221853,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.303809843035
 01/02  04:00:00,0.844000367022,10.1055682964,0.0,9.76975671921,0.0,0.320881966295,0.320881966295,0.320881966295,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310231405323
 01/02  05:00:00,0.855455393049,10.6227632833,0.0,10.2211253243,0.0,0.335825440217,0.335825440217,0.335825440217,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.377024081535
 01/02  06:00:00,0.914373181736,11.0617572959,0.0,10.3649642094,0.0,0.340488852496,0.340488852496,0.340488852496,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.669325977471
 01/02  07:00:00,1.15408944802,12.1365967573,0.0,10.8890890739,0.0,0.357844274287,0.357844274287,0.357844274287,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21577213998
 01/02  08:00:00,1.45323628064,11.7130462884,0.0,10.3109442947,0.0,0.338687582235,0.338687582235,0.338687582235,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36838060116
 01/02  09:00:00,1.3626390461,10.3206322748,0.0,8.96204986564,0.0,0.293876558659,0.293876558659,0.293876558659,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33007291959
 01/02  10:00:00,1.10963262662,8.00883848371,0.0,6.77344300679,0.0,0.221589199573,0.221589199573,0.221589199573,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21113159587
 01/02  11:00:00,1.06574364483,6.81726787394,0.0,5.72195031692,0.0,0.187376276772,0.187376276772,0.187376276772,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07048302966
 01/02  12:00:00,1.0210913498,4.84155489239,0.0,3.87305486462,0.0,0.126370410171,0.126370410171,0.126370410171,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.94365789179
 01/02  13:00:00,0.964661834508,3.48875745691,0.0,2.61835427354,0.0,0.0852902544305,0.0852902544305,0.0852902544305,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.845979521355
 01/02  14:00:00,0.917414455937,2.64985422658,0.0,1.83659068723,0.0,0.0597793859298,0.0597793859298,0.0597793859298,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.787995320793
 01/02  15:00:00,0.90397992649,2.06889714538,0.0,1.31233944601,0.0,0.0426923516684,0.0426923516684,0.0426923516684,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.729866669349
 01/02  16:00:00,0.976612728117,2.07441530629,0.0,1.30837602374,0.0,0.0425578660414,0.0425578660414,0.0425578660414,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.737864572136
 01/02  17:00:00,1.25127217535,2.43452360911,0.0,1.59176516862,0.0,0.0521579253148,0.0521579253148,0.0521579253148,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.809432696059
 01/02  18:00:00,1.81977288925,4.94154053824,0.0,3.94039188833,0.0,0.130125111803,0.130125111803,0.130125111803,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.960663196453
 01/02  19:00:00,2.15510452767,4.80690440434,0.0,3.66697227867,0.0,0.120232461669,0.120232461669,0.120232461669,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09597714266
 01/02  20:00:00,2.14655667465,5.62957925065,0.0,4.46646045309,0.0,0.146668764077,0.146668764077,0.146668764077,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11774861171
 01/02  21:00:00,2.01695072802,6.35781105861,0.0,5.27567159436,0.0,0.173305412193,0.173305412193,0.173305412193,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03520951182
 01/02  22:00:00,1.87750342637,7.26943457277,0.0,6.28908754147,0.0,0.206714938761,0.206714938761,0.206714938761,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.93451271978
 01/02  23:00:00,1.58777049241,8.09699032281,0.0,7.28517260632,0.0,0.239453133379,0.239453133379,0.239453133379,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.772153993723
 01/02  24:00:00,1.30151318741,8.86916657989,0.0,8.23832125401,0.0,0.270825059355,0.270825059355,0.270825059355,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.596378288827
 01/03  01:00:00,0.97916389842,8.50986056417,0.0,8.07027599322,0.0,0.26494397556,0.26494397556,0.26494397556,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411075081363
 01/03  02:00:00,0.869177654563,8.99545156605,0.0,8.64198135762,0.0,0.283906500864,0.283906500864,0.283906500864,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327220478232
 01/03  03:00:00,0.839186169501,9.56574629893,0.0,9.23584601188,0.0,0.303661191658,0.303661191658,0.303661191658,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.303954901547
 01/03  04:00:00,0.835500817721,9.83930851276,0.0,9.50355572667,0.0,0.312382416994,0.312382416994,0.312382416994,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310172614227
 01/03  05:00:00,0.842589390469,10.2259257972,0.0,9.82421746044,0.0,0.322959437637,0.322959437637,0.322959437637,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.377094459296
 01/03  06:00:00,0.919643604683,11.2094777634,0.0,10.5116454096,0.0,0.345759275443,0.345759275443,0.345759275443,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.670365244815
 01/03  07:00:00,1.16462451107,12.4482747007,0.0,11.1987602869,0.0,0.368379337332,0.368379337332,0.368379337332,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21777887043
 01/03  08:00:00,1.46105551092,11.9457173308,0.0,10.5415720606,0.0,0.34650681252,0.34650681252,0.34650681252,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37042387768
 01/03  09:00:00,1.36620640022,10.4250911341,0.0,9.06463629999,0.0,0.297443912772,0.297443912772,0.297443912772,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33194534453
 01/03  10:00:00,1.12144093352,8.36167183145,0.0,7.12431049549,0.0,0.233397506477,0.233397506477,0.233397506477,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21309745491
 01/03  11:00:00,1.0932372933,7.64528022781,0.0,6.54829120785,0.0,0.214869925245,0.214869925245,0.214869925245,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.0721544926
 01/03  12:00:00,1.04424928405,5.54534757583,0.0,4.57593011508,0.0,0.149528344424,0.149528344424,0.149528344424,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.944575324779
 01/03  13:00:00,0.993730827881,4.37116241197,0.0,3.4999742347,0.0,0.114359247803,0.114359247803,0.114359247803,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.846764515261
 01/03  14:00:00,0.941276596595,3.37703914665,0.0,2.56347475473,0.0,0.083641526588,0.083641526588,0.083641526588,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.788296173375
 01/03  15:00:00,0.920188270682,2.56511396783,0.0,1.80815167321,0.0,0.058900695861,0.058900695861,0.058900695861,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.730271264602
 01/03  16:00:00,0.990072692987,2.48600871016,0.0,1.72011738422,0.0,0.0560178309115,0.0560178309115,0.0560178309115,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.737716615521
 01/03  17:00:00,1.27036191248,3.01431280943,0.0,2.17089876583,0.0,0.0712476624398,0.0712476624398,0.0712476624398,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.810088299167
 01/03  18:00:00,1.83105149931,5.28529797829,0.0,4.2836280203,0.0,0.141403721861,0.141403721861,0.141403721861,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.96118450453
 01/03  19:00:00,2.18148353629,5.60402377166,0.0,4.46273997524,0.0,0.146611470286,0.146611470286,0.146611470286,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09732881341
 01/03  20:00:00,2.16802977069,6.28170312714,0.0,5.11779401348,0.0,0.16814186012,0.16814186012,0.16814186012,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11853892781
 01/03  21:00:00,2.0340802427,6.8781571128,0.0,5.79543898191,0.0,0.190434926879,0.190434926879,0.190434926879,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03578817846
 01/03  22:00:00,1.889799033,7.64193048483,0.0,6.66110932141,0.0,0.219010545398,0.219010545398,0.219010545398,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.934986851899
 01/03  23:00:00,1.59441633319,8.29666811625,0.0,7.4843771685,0.0,0.246098974157,0.246098974157,0.246098974157,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.77262722498
 01/03  24:00:00,1.30341756908,8.92310507599,0.0,8.29206792519,0.0,0.272729441019,0.272729441019,0.272729441019,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.596570113757
 01/04  01:00:00,1.02394129532,9.85145663901,0.0,9.41107568231,0.0,0.309721372459,0.309721372459,0.309721372459,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411871467119
 01/04  02:00:00,0.910364787729,10.2370665469,0.0,9.88380403491,0.0,0.32509363403,0.32509363403,0.32509363403,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327012781769
 01/04  03:00:00,0.873739335507,10.6119163218,0.0,10.2826692893,0.0,0.338214357664,0.338214357664,0.338214357664,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.303301647026
 01/04  04:00:00,0.874139803035,11.0041590567,0.0,10.6690798824,0.0,0.351021402308,0.351021402308,0.351021402308,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.309499002413
 01/04  05:00:00,0.876940291902,11.2617537864,0.0,10.8607375433,0.0,0.35731033907,0.35731033907,0.35731033907,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.376402365634
 01/04  06:00:00,0.933507772663,11.6285639711,0.0,10.9311651677,0.0,0.359623443423,0.359623443423,0.359623443423,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.669931694384
 01/04  07:00:00,1.17232503401,12.6781860063,0.0,11.427585008,0.0,0.376079860271,0.376079860271,0.376079860271,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21886545496
 01/04  08:00:00,1.4696789504,12.2006063664,0.0,10.7951248803,0.0,0.355130252003,0.355130252003,0.355130252003,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37176009355
 01/04  09:00:00,1.37994452532,10.8355676091,0.0,9.47337645091,0.0,0.311182037881,0.311182037881,0.311182037881,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33368166858
 01/04  10:00:00,1.12871072706,8.58047627115,0.0,7.34175705185,0.0,0.240667300015,0.240667300015,0.240667300015,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21445533824
 01/04  11:00:00,1.08310141509,7.33910851766,0.0,6.24121602538,0.0,0.204734047031,0.204734047031,0.204734047031,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07305796492
 01/04  12:00:00,1.02924941619,5.08862338232,0.0,4.118168272,0.0,0.134528476564,0.134528476564,0.134528476564,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.945612974351
 01/04  13:00:00,0.971299038738,3.68950823435,0.0,2.8173976252,0.0,0.09192745866,0.09192745866,0.09192745866,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.847686947132
 01/04  14:00:00,0.917229101557,2.64469801885,0.0,1.83006363198,0.0,0.0595940315496,0.0595940315496,0.0595940315496,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.789366168312
 01/04  15:00:00,0.897733056254,1.88000244069,0.0,1.12171454054,0.0,0.0364454814321,0.0364454814321,0.0364454814321,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.731596870129
 01/04  16:00:00,0.966603219815,1.76950406157,0.0,1.00217497489,0.0,0.0325483577398,0.0325483577398,0.0325483577398,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.73915437626
 01/04  17:00:00,1.24025038419,2.10057682456,0.0,1.25574898237,0.0,0.0411361341483,0.0411361341483,0.0411361341483,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.811502097764
 01/04  18:00:00,1.81732809532,4.86345049579,0.0,3.8593904178,0.0,0.127680317874,0.127680317874,0.127680317874,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.963574624536
 01/04  19:00:00,2.16206604947,5.01372344279,0.0,3.87031487837,0.0,0.127193983471,0.127193983471,0.127193983471,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.0994535814
 01/04  20:00:00,2.13940468418,5.41415880607,0.0,4.24835317334,0.0,0.139516773604,0.139516773604,0.139516773604,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.12043544687
 01/04  21:00:00,2.01702360226,6.35545298455,0.0,5.27020498002,0.0,0.173378286437,0.173378286437,0.173378286437,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.0383180521
 01/04  22:00:00,1.87188251668,7.09662996763,0.0,6.11396556494,0.0,0.20109402908,0.20109402908,0.20109402908,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.936830091176
 01/04  23:00:00,1.58196507774,7.91457562741,0.0,7.10096897788,0.0,0.233647718711,0.233647718711,0.233647718711,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.77394292676
 01/04  24:00:00,1.28983545323,8.50911869581,0.0,7.8772966847,0.0,0.259147325176,0.259147325176,0.259147325176,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.59735497407
 01/05  01:00:00,1.00096505304,9.15301008152,0.0,8.71247777604,0.0,0.286745130176,0.286745130176,0.286745130176,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.412022815894
 01/05  02:00:00,0.894554716707,9.75166064202,0.0,9.39798697001,0.0,0.309283563008,0.309283563008,0.309283563008,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327423941801
 01/05  03:00:00,0.86058031829,10.207255244,0.0,9.87773974345,0.0,0.325055340447,0.325055340447,0.325055340447,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.303570115076
 01/05  04:00:00,0.86047565551,10.586316066,0.0,10.2511237457,0.0,0.337357254783,0.337357254783,0.337357254783,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.309612148412
 01/05  05:00:00,0.869679922794,11.0367017866,0.0,10.6351643429,0.0,0.350049969963,0.350049969963,0.350049969963,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.376923566201
 01/05  06:00:00,0.928398250425,11.4703440851,0.0,10.771870721,0.0,0.354513921186,0.354513921186,0.354513921186,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.6710062551
 01/05  07:00:00,1.16853955932,12.5615241882,0.0,11.3089864747,0.0,0.372294385584,0.372294385584,0.372294385584,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.2208021701
 01/05  08:00:00,1.46697138994,12.1168694628,0.0,10.7092201046,0.0,0.352422691538,0.352422691538,0.352422691538,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37392796561
 01/05  09:00:00,1.37426704932,10.6633576094,0.0,9.29916238404,0.0,0.305504561875,0.305504561875,0.305504561875,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33568573573
 01/05  10:00:00,1.12349954019,8.42155986625,0.0,7.18101908916,0.0,0.235456113142,0.235456113142,0.235456113142,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21627689604
 01/05  11:00:00,1.06897666983,6.91238583165,0.0,5.81308779445,0.0,0.19060930177,0.19060930177,0.19060930177,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07446350985
 01/05  12:00:00,1.01853332044,4.76197051046,0.0,3.79020105465,0.0,0.12381238081,0.12381238081,0.12381238081,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.946927319837
 01/05  13:00:00,0.956837070129,3.2501811335,0.0,2.377019623,0.0,0.0774654900516,0.0774654900516,0.0774654900516,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.848737848482
 01/05  14:00:00,0.906003762334,2.30261591854,0.0,1.48671427028,0.0,0.0483686923267,0.0483686923267,0.0483686923267,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.790633429708
 01/05  15:00:00,0.883305600514,1.43975856411,0.0,0.680460092731,0.0,0.0220180256923,0.0220180256923,0.0220180256923,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.732607441361
 01/05  16:00:00,0.951618804196,1.31167679565,0.0,0.54344515967,0.0,0.0175639421204,0.0175639421204,0.0175639421204,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.740056925565
 01/05  17:00:00,1.22284848093,1.57337488987,0.0,0.727374714372,0.0,0.0237342308861,0.0237342308861,0.0237342308861,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.81267443107
 01/05  18:00:00,1.79558160571,4.20739308635,0.0,3.20195628109,0.0,0.10593382826,0.10593382826,0.10593382826,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.96495135181
 01/05  19:00:00,2.13239951174,4.11413485612,0.0,2.96887622045,0.0,0.0975274457366,0.0975274457366,0.0975274457366,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.10130365267
 01/05  20:00:00,2.12222595971,4.88872905248,0.0,3.72029066315,0.0,0.122338049139,0.122338049139,0.122338049139,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.12306820347
 01/05  21:00:00,1.99489947365,5.68412051021,0.0,4.59679838744,0.0,0.151254157827,0.151254157827,0.151254157827,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.04039217034
 01/05  22:00:00,1.85146600947,6.4756706609,0.0,5.4911361537,0.0,0.180677521863,0.180677521863,0.180677521863,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.938700195681
 01/05  23:00:00,1.55527594843,7.10597724265,0.0,6.29061568488,0.0,0.206958589399,0.206958589399,0.206958589399,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.775697835009
 01/05  24:00:00,1.27245228835,7.97816602997,0.0,7.34451059715,0.0,0.241764160294,0.241764160294,0.241764160294,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.599188395771
 01/06  01:00:00,0.981596844256,8.56598095108,0.0,8.12439781434,0.0,0.267376921397,0.267376921397,0.267376921397,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.41307364716
 01/06  02:00:00,0.867560406233,8.93298277601,0.0,8.57908255875,0.0,0.282289252534,0.282289252534,0.282289252534,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327650487059
 01/06  03:00:00,0.829186449859,9.25491738517,0.0,8.92510896859,0.0,0.293661472016,0.293661472016,0.293661472016,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.303863031072
 01/06  04:00:00,0.829371522039,9.64210715033,0.0,9.30623768724,0.0,0.306253121313,0.306253121313,0.306253121313,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.31028929122
 01/06  05:00:00,0.832783557039,9.91898205884,0.0,9.51657996959,0.0,0.313153604208,0.313153604208,0.313153604208,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.377788211797
 01/06  06:00:00,0.889572223544,10.2941620502,0.0,9.59428247781,0.0,0.315687894304,0.315687894304,0.315687894304,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.672412463427
 01/06  07:00:00,1.13199223894,11.4533774647,0.0,10.1983558551,0.0,0.335747065203,0.335747065203,0.335747065203,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.22328606619
 01/06  08:00:00,1.43185040143,11.0544361816,0.0,9.64363938655,0.0,0.317301703025,0.317301703025,0.317301703025,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37707540256
 01/06  09:00:00,1.34658923046,9.82512588828,0.0,8.45809084736,0.0,0.277826743018,0.277826743018,0.277826743018,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33852555134
 01/06  10:00:00,1.09076533456,7.43292746934,0.0,6.19010939315,0.0,0.202721907518,0.202721907518,0.202721907518,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21855419514
 01/06  11:00:00,1.03889478473,6.00150529825,0.0,4.89983630979,0.0,0.160527416669,0.160527416669,0.160527416669,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.0768344611
 01/06  12:00:00,0.994575090476,4.03497595107,0.0,3.06080838147,0.0,0.0998541508473,0.0998541508473,0.0998541508473,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.949325433625
 01/06  13:00:00,0.935934905654,2.61563070798,0.0,1.740210468,0.0,0.0565633255769,0.0565633255769,0.0565633255769,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.850996577965
 01/06  14:00:00,0.885210444392,1.66978629102,0.0,0.852102447428,0.0,0.027575374385,0.027575374385,0.027575374385,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.792415625038
 01/06  15:00:00,0.871102521881,1.06541568565,0.0,0.304775610405,0.0,0.0098149470599,0.0098149470599,0.0098149470599,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.733949045234
 01/06  16:00:00,0.940276222011,0.963799140412,0.0,0.193473590809,0.0,0.00622135993636,0.00622135993636,0.00622135993636,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.742150839185
 01/06  17:00:00,1.21544548085,1.34999168693,0.0,0.502373887332,0.0,0.0163312308104,0.0163312308104,0.0163312308104,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.814292055169
 01/06  18:00:00,1.78832320893,3.99178320649,0.0,2.98442772996,0.0,0.09867543148,0.09867543148,0.09867543148,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.966870023076
 01/06  19:00:00,2.11746909917,3.66462365411,0.0,2.51768676758,0.0,0.0825970331653,0.0825970331653,0.0825970331653,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.10298190351
 01/06  20:00:00,2.10330182218,4.31778413609,0.0,3.14736160626,0.0,0.103413911605,0.103413911605,0.103413911605,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.12505234397
